SEAG_RS23305,SEAG_RS23320,SEN_RS22090,SG_RS05215,SG_RS05220,SG_RS05300,SG_RS24060,STM0266,STM0267,STM0268,STM0270,STM0271,STM0272,STM0273,STM0274,STM0275,STM0276,STM0278,STM0279,STM0280,STM0281,STM0282,STM0283,STM0284,STM0285,STM0286,STM0287,STM0289,STM0290,STM0306,STM3026,STM4261,STY_RS21720,STY_RS21730,apeE,avrA,bcfB,cheA,cheB,cheM,cheW,csgB,csgD,fimC,fimY,flgD,flgG,fliC,fliD,fliF,fliG,fliI,fliK,fliL,fliM,fliP,fljB,gogB,hilC,hilD,invA,iroB,iroC,iroD,iroN,lpfA,lpfD,mig-5,motB,nmpC,pefA,pefB,pefC,pefD,pegA,pegB,pegC,pipB,pltA,ratB,rck,rpoS,safA,safB,safC,safD,sefA,sefB,sefC,sefD,shdA,sifB,sinH,sipD,sodCI,sopA,sopD2,sopE,spiC/ssaB,spvB,spvC,spvD,ssaT,ssaU,sseI/srfH,sseK1,sseK2,sseL,sspH1,sspH2,staA,staB,stcA,stcD,stdB,steC,steD,steF,stkA,tae4,tcfA,tcfD,tlde1
0.0,0.0,2.429073,2.429073,2.69897,0.0,2.429073,2.69897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69897,2.429073,2.69897,0.0,0.0,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,0.0,0.0,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,0.0,0.0,2.429073,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,1.889279,2.69897,2.69897,0.0,1.619382,1.619382,1.619382,2.69897,2.69897,2.69897,2.69897,0.0,2.69897,1.349485,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.429073,2.429073,2.429073,0.0,2.429073,0.0,2.69897,2.69897,2.69897,2.429073,2.69897,2.69897,1.889279,1.889279,1.619382,2.69897,2.69897,2.69897,1.619382,2.429073,2.69897,0.0,2.429073,0.0,0.0,0.0,0.0,2.69897,2.69897,2.69897,2.69897,0.0,0.0,0.0,0.0,2.69897
0.0,0.0,2.7,2.7,3.0,0.0,2.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,2.7,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.1,3.0,3.0,0.0,1.8,1.8,1.8,3.0,3.0,3.0,3.0,0.0,3.0,1.5,3.0,3.0,3.0,3.0,3.0,3.0,2.7,2.7,2.7,0.0,2.7,0.0,3.0,3.0,3.0,2.7,3.0,3.0,2.1,2.1,1.8,3.0,3.0,3.0,1.8,2.7,3.0,0.0,2.7,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,2.970927,2.970927,3.30103,0.0,2.970927,3.30103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.30103,2.970927,3.30103,0.0,0.0,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,0.0,0.0,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,0.0,0.0,2.970927,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,2.310721,3.30103,3.30103,0.0,1.980618,1.980618,1.980618,3.30103,3.30103,3.30103,3.30103,0.0,3.30103,1.650515,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,2.970927,2.970927,2.970927,0.0,2.970927,0.0,3.30103,3.30103,3.30103,2.970927,3.30103,3.30103,2.310721,2.310721,1.980618,3.30103,3.30103,3.30103,1.980618,2.970927,3.30103,0.0,2.970927,0.0,0.0,0.0,0.0,3.30103,3.30103,3.30103,3.30103,0.0,0.0,0.0,0.0,3.30103
0.0,0.0,3.6,3.6,4.0,0.0,3.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,3.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.8,4.0,4.0,0.0,2.4,2.4,2.4,4.0,4.0,4.0,4.0,0.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,3.6,3.6,0.0,3.6,0.0,4.0,4.0,4.0,3.6,4.0,4.0,2.8,2.8,2.4,4.0,4.0,4.0,2.4,3.6,4.0,0.0,3.6,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,4.5,4.5,5.0,0.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.5,5.0,5.0,0.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,0.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.5,0.0,4.5,0.0,5.0,5.0,5.0,4.5,5.0,5.0,3.5,3.5,3.0,5.0,5.0,5.0,3.0,4.5,5.0,0.0,4.5,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0
2.69897,2.69897,0.0,0.0,0.0,0.0,0.0,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.657946,2.249052,2.657946,2.249052,2.69897,2.69897,2.69897,2.657946,2.576167,2.69897,2.69897,2.69897,2.69897,2.69897,2.657946,2.657946,2.412609,0.0,0.0,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.657946,2.69897,2.657946,2.69897,2.69897,2.657946,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.494388,0.408894,2.657946,2.657946,2.69897,2.69897,2.69897,2.69897,2.69897,2.69897,2.657946,0.286361,2.69897,2.69897,0.245336,0.245336,0.245336,0.245336,0.0,0.0,0.0,2.657946,0.0,2.69897,0.122803,2.69897,2.617191,2.69897,2.69897,2.69897,0.0,0.0,0.0,0.0,0.327115,2.535412,2.69897,2.69897,2.617191,2.657946,2.535412,0.0,2.657946,0.286361,0.245336,0.286361,2.657946,2.657946,2.494388,2.535412,2.657946,2.617191,0.041024,2.617191,0.0,0.0,2.657946,2.657946,2.69897,2.657946,0.0,0.0,0.0,2.657946,0.0,0.0,2.69897
3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9544,2.4999,2.9544,2.4999,3.0,3.0,3.0,2.9544,2.8635,3.0,3.0,3.0,3.0,3.0,2.9544,2.9544,2.6817,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9544,3.0,2.9544,3.0,3.0,2.9544,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.7726,0.4545,2.9544,2.9544,3.0,3.0,3.0,3.0,3.0,3.0,2.9544,0.3183,3.0,3.0,0.2727,0.2727,0.2727,0.2727,0.0,0.0,0.0,2.9544,0.0,3.0,0.1365,3.0,2.9091,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.3636,2.8182,3.0,3.0,2.9091,2.9544,2.8182,0.0,2.9544,0.3183,0.2727,0.3183,2.9544,2.9544,2.7726,2.8182,2.9544,2.9091,0.0456,2.9091,0.0,0.0,2.9544,2.9544,3.0,2.9544,0.0,0.0,0.0,2.9544,0.0,0.0,3.0
3.30103,3.30103,0.0,0.0,0.0,0.0,0.0,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.250854,2.750748,3.250854,2.750748,3.30103,3.30103,3.30103,3.250854,3.150833,3.30103,3.30103,3.30103,3.30103,3.30103,3.250854,3.250854,2.950791,0.0,0.0,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.250854,3.30103,3.250854,3.30103,3.30103,3.250854,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.050812,0.500106,3.250854,3.250854,3.30103,3.30103,3.30103,3.30103,3.30103,3.30103,3.250854,0.350239,3.30103,3.30103,0.300064,0.300064,0.300064,0.300064,0.0,0.0,0.0,3.250854,0.0,3.30103,0.150197,3.30103,3.201009,3.30103,3.30103,3.30103,0.0,0.0,0.0,0.0,0.400085,3.100988,3.30103,3.30103,3.201009,3.250854,3.100988,0.0,3.250854,0.350239,0.300064,0.350239,3.250854,3.250854,3.050812,3.100988,3.250854,3.201009,0.050176,3.201009,0.0,0.0,3.250854,3.250854,3.30103,3.250854,0.0,0.0,0.0,3.250854,0.0,0.0,3.30103
4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9392,3.3332,3.9392,3.3332,4.0,4.0,4.0,3.9392,3.818,4.0,4.0,4.0,4.0,4.0,3.9392,3.9392,3.5756,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9392,4.0,3.9392,4.0,4.0,3.9392,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6968,0.606,3.9392,3.9392,4.0,4.0,4.0,4.0,4.0,4.0,3.9392,0.4244,4.0,4.0,0.3636,0.3636,0.3636,0.3636,0.0,0.0,0.0,3.9392,0.0,4.0,0.182,4.0,3.8788,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.4848,3.7576,4.0,4.0,3.8788,3.9392,3.7576,0.0,3.9392,0.4244,0.3636,0.4244,3.9392,3.9392,3.6968,3.7576,3.9392,3.8788,0.0608,3.8788,0.0,0.0,3.9392,3.9392,4.0,3.9392,0.0,0.0,0.0,3.9392,0.0,0.0,4.0
5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.924,4.1665,4.924,4.1665,5.0,5.0,5.0,4.924,4.7725,5.0,5.0,5.0,5.0,5.0,4.924,4.924,4.4695,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.924,5.0,4.924,5.0,5.0,4.924,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.621,0.7575,4.924,4.924,5.0,5.0,5.0,5.0,5.0,5.0,4.924,0.5305,5.0,5.0,0.4545,0.4545,0.4545,0.4545,0.0,0.0,0.0,4.924,0.0,5.0,0.2275,5.0,4.8485,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.606,4.697,5.0,5.0,4.8485,4.924,4.697,0.0,4.924,0.5305,0.4545,0.5305,4.924,4.924,4.621,4.697,4.924,4.8485,0.076,4.8485,0.0,0.0,4.924,4.924,5.0,4.924,0.0,0.0,0.0,4.924,0.0,0.0,5.0
